# t_sec x y z
3.95891 0.0235183 0.692415 -0.0308487
3.96971 0.00488692 0.759152 -0.0335976
3.98051 -0.0154243 0.74327 -0.0125227
3.9913 -0.0288634 0.702953 0.0242819
4.0021 -0.033903 0.698829 0.0406225
4.01289 -0.034972 0.740826 0.00641408
4.02369 -0.03711 0.788932 -0.0192422
4.03448 -0.0358883 0.813672 -0.0186314
4.04528 -0.0310014 0.846353 -0.00794124
4.05607 -0.0212276 0.893542 -0.00335976
4.06687 -0.0160352 0.917519 0.00229074
4.07767 -0.0167988 0.855669 0.00335976
4.08846 -0.0219911 0.772286 0.000610865
4.09926 -0.0111483 0.754723 -0.000610865
4.11005 0.0108428 0.759916 -0.00106901
4.12085 0.0232129 0.733954 -0.00183259
4.13164 0.0251982 0.726929 -0.0094684
4.14244 0.019395 0.748157 -0.0169515
4.15323 0.0207694 0.802676 -0.0180205
4.16403 0.0332921 0.869871 -0.00992655
4.17483 0.0378736 0.924086 0.00519235
4.18562 0.0325285 0.993266 0.0160352
4.19642 0.0232129 1.03526 0.0197004
4.20721 0.0320704 1.06535 0.019395
4.21801 0.0572686 1.04717 0.0169515
4.2288 0.0960585 1.06535 0.00397062
4.2396 0.127518 1.09177 -0.0132863
4.25039 0.156381 1.02091 -0.0213803
4.26119 0.182343 0.908967 -0.0255036
4.27198 0.193033 0.852767 -0.0277943
4.28278 0.179442 0.863305 -0.0392481
4.29358 0.151036 0.857807 -0.0479529
4.30437 0.120951 0.8068 -0.046273
4.31517 0.109956 0.817795 -0.0429133
4.32596 0.113926 0.852767 -0.0340557
4.33676 0.121409 0.862083 -0.0192422
4.34755 0.125838 0.880409 -0.00962112
4.35835 0.12202 0.968526 -0.0198531
4.36914 0.10629 1.06 -0.0311541
4.37994 0.0980438 1.10001 -0.0235183
4.39074 0.105069 1.0739 -0.0149662
4.40153 0.105069 1.04229 -0.0259618
4.41233 0.102625 0.994946 -0.0323758
4.42312 0.117591 0.897513 -0.019395
4.43392 0.135459 0.840245 -0.0169515
4.44471 0.13607 0.88102 -0.0311541
4.45551 0.113163 0.965319 -0.0453567
4.4663 0.0762054 0.973718 -0.0487165
4.4771 0.0354302 0.97494 -0.0421497
4.4879 0.0230601 0.974482 -0.0302378
4.49869 0.0222966 1.01602 -0.0230601
4.50949 0.0195477 1.02213 -0.0253509
4.52028 0.00198531 0.943939 -0.0332921
4.53108 -0.0277943 0.839023 -0.0433714
4.54187 -0.0587957 0.727387 -0.0412334
4.55267 -0.0759 0.662636 -0.0274889
4.56346 -0.082314 0.643088 -0.0197004
4.57426 -0.0826195 0.633009 -0.0184787
4.58506 -0.071013 0.654542 -0.0177151
4.59585 -0.0566577 0.71349 -0.0167988
4.60665 -0.0497855 0.770606 -0.0164933
4.61744 -0.0447458 0.806494 -0.0125227
4.62824 -0.0392481 0.832456 -0.00962112
4.63903 -0.0456621 0.827874 -0.0161879
4.64983 -0.0514654 0.814588 -0.0222966
4.66062 -0.0574213 0.755487 -0.0184787
4.67142 -0.0471893 0.687834 -0.0172569
4.68222 -0.0325285 0.674089 -0.0198531
4.69301 -0.0158825 0.722042 -0.019395
4.70381 -0.00778853 0.834747 -0.0242819
4.7146 -0.0117591 0.954476 -0.0319177
4.7254 -0.0256563 1.01495 -0.0351247
4.73619 -0.0232129 1.0348 -0.0274889
4.74699 -0.0158825 1.03328 -0.0267253
4.75778 -0.00977384 1.00151 -0.02474
4.76858 -0.013439 0.93386 -0.0241292
4.77938 -0.0251982 0.887739 -0.0284052
4.79017 -0.0386372 0.905607 -0.0299324
4.80097 -0.0465784 0.982271 -0.0343611
4.81176 -0.0517708 1.07955 -0.0426078
4.82256 -0.0522289 1.17378 -0.0511599
4.83335 -0.0807869 1.23242 -0.0621555
4.84415 -0.136986 1.18905 -0.0592539
4.85494 -0.180816 1.14552 -0.0638354
4.86574 -0.180969 1.13086 -0.0526871
4.87654 -0.168141 1.09253 -0.0416915
4.88733 -0.145844 1.01678 -0.0368046
4.89813 -0.130878 0.940426 -0.0387899
4.90892 -0.133627 0.975398 -0.0436768
4.91972 -0.141262 1.03878 -0.0461203
4.93051 -0.131641 1.03923 -0.0413861
4.94131 -0.107207 0.960585 -0.0394008
4.9521 -0.0685696 0.813366 -0.0380263
4.9629 -0.0378736 0.704938 -0.0352774
4.9737 -0.0361937 0.706618 -0.0319177
4.98449 -0.0380263 0.760679 -0.0230601
4.99529 -0.030696 0.811534 -0.0161879
5.00608 -0.0148135 0.838106 -0.0149662
5.01688 -0.00580322 0.87598 -0.0180205
5.02767 -0.0146608 0.923169 -0.0319177
5.03847 -0.020464 0.897055 -0.0503963
